Dia_da_Semana;Data;Hora;Temperatura;Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Irradiacao;energia_gerada
sáb;01/01/2022;0:00;23,7;0,1;63;8,6;;15333
sáb;01/01/2022;1:00;24,9;0;30;3,7;;15345
sáb;01/01/2022;2:00;25,5;0;345;1,4;2,3;15357
sáb;01/01/2022;3:00;23,6;0;167;2,4;0,4;15369
sáb;01/01/2022;4:00;22,8;0;135;4,7;0,1;15381
sáb;01/01/2022;5:00;23,3;0;115;2,5;;15393
sáb;01/01/2022;6:00;23;0;109;5,1;;15405
sáb;01/01/2022;7:00;23,2;0;143;0;0,2;15417
sáb;01/01/2022;8:00;23,1;0;137;0;;15429
sáb;01/01/2022;9:00;23,1;0;115;0;;15441
sáb;01/01/2022;10:00;23,6;0;126;0;52,7;15453
sáb;01/01/2022;11:00;24,7;0;75;3,4;287,9;15465
sáb;01/01/2022;12:00;26,4;0,2;78;5,4;843,3;15477
sáb;01/01/2022;13:00;26,9;0,5;72;6,7;1409,4;15489
sáb;01/01/2022;14:00;27;0,1;79;6,2;1642,2;15501
sáb;01/01/2022;15:00;28,2;0,7;73;6;1799,6;15513
sáb;01/01/2022;16:00;24,7;3;67;11,7;1969,1;15525
sáb;01/01/2022;17:00;26,2;2,5;80;8,6;1068,7;15537
sáb;01/01/2022;18:00;24,8;2,1;61;9,6;1187,6;15549
sáb;01/01/2022;19:00;23,3;4,6;64;10,1;462,9;15561
sáb;01/01/2022;20:00;24,2;0;42;8,1;210,8;15573
sáb;01/01/2022;21:00;24,3;0;49;0;78,6;15585
sáb;01/01/2022;22:00;25,1;1,4;47;6,1;7,6;15597
sáb;01/01/2022;23:00;25,1;0;57;6,3;;15609
dom;02/01/2022;0:00;24,6;0;61;8,7;;15621
dom;02/01/2022;1:00;;;;;;15633
dom;02/01/2022;2:00;;;;;;15645
dom;02/01/2022;3:00;;;;;;15657
dom;02/01/2022;4:00;;;;;;15669
dom;02/01/2022;5:00;;;;;;15681
dom;02/01/2022;6:00;;;;;;15693
dom;02/01/2022;7:00;;;;;;15705
dom;02/01/2022;8:00;;;;;;15717
dom;02/01/2022;9:00;;;;;;15729
dom;02/01/2022;10:00;;;;;;15741
dom;02/01/2022;11:00;;;;;;15753
dom;02/01/2022;12:00;;;;;;15765
dom;02/01/2022;13:00;;;;;;15777
dom;02/01/2022;14:00;;;;;;15789
dom;02/01/2022;15:00;26,5;0;79;;776,7;15801
dom;02/01/2022;16:00;27,4;1,9;77;9,1;1231,4;15813
dom;02/01/2022;17:00;26,8;3,5;64;9,2;1529,7;15825
dom;02/01/2022;18:00;26,6;1,2;55;8,8;621,8;15837
dom;02/01/2022;19:00;27,1;4,1;52;7,9;1419,4;15849
dom;02/01/2022;20:00;27,1;2,4;60;8,8;649,4;15861
dom;02/01/2022;21:00;26,8;1;65;8,2;257,6;15873
dom;02/01/2022;22:00;26,7;2,2;74;7;5,8;15885
dom;02/01/2022;23:00;26,6;1,3;60;7,5;;15897
seg;03/01/2022;0:00;26,6;3,3;60;6,8;;15909
seg;03/01/2022;1:00;26,6;0,6;62;7,7;;15921
seg;03/01/2022;2:00;26,5;0,9;64;6,6;;15933
seg;03/01/2022;3:00;26,5;2,2;57;7;;15945
seg;03/01/2022;4:00;26,3;0,6;57;7,3;;15957
seg;03/01/2022;5:00;26,2;0,3;63;5,5;;15969
seg;03/01/2022;6:00;26,3;0,9;58;6,5;;15981
seg;03/01/2022;7:00;23,5;0,1;102;8;;15993
seg;03/01/2022;8:00;23,2;0;107;2,7;;16005
seg;03/01/2022;9:00;23,4;0;101;0;;16017
seg;03/01/2022;10:00;24,9;1,6;60;9,2;89,4;16029
seg;03/01/2022;11:00;26,3;2,2;55;7,2;426,4;16041
seg;03/01/2022;12:00;27,1;1,4;69;7,8;748,7;16053
seg;03/01/2022;13:00;27,8;2,4;76;9,2;1406,2;16065
seg;03/01/2022;14:00;28,7;3,3;72;8,4;2198;16077
seg;03/01/2022;15:00;29,1;2,4;61;8,4;2414,8;16089
seg;03/01/2022;16:00;29,2;2,2;73;8,6;2477,2;16101
seg;03/01/2022;17:00;27,7;0,4;69;6,5;621,3;16113
seg;03/01/2022;18:00;27,2;0;57;4,2;256;16125
seg;03/01/2022;19:00;27;0;78;0;181,8;16137
seg;03/01/2022;20:00;22,3;0,3;108;5,7;68,7;16149
seg;03/01/2022;21:00;22;0;161;5,6;21,5;16161
seg;03/01/2022;22:00;21,7;0;150;3;0,5;16173
seg;03/01/2022;23:00;22,2;0;138;3,8;;16185
ter;04/01/2022;0:00;22,6;0;87;1,1;;16197
ter;04/01/2022;1:00;;;;;;16209
ter;04/01/2022;2:00;;;;;;16221
ter;04/01/2022;3:00;;;;;;16233
ter;04/01/2022;4:00;;;;;;16245
ter;04/01/2022;5:00;;;;;;16257
ter;04/01/2022;6:00;;;;;;16269
ter;04/01/2022;7:00;;;;;;16281
ter;04/01/2022;8:00;;;;;;16293
ter;04/01/2022;9:00;;;;;;16305
ter;04/01/2022;10:00;;;;;;16317
ter;04/01/2022;11:00;;;;;;16329
ter;04/01/2022;12:00;;;;;;16341
ter;04/01/2022;13:00;;;;;;16353
ter;04/01/2022;14:00;;;;;;16365
ter;04/01/2022;15:00;;;;;;16377
ter;04/01/2022;16:00;;;;;;16389
ter;04/01/2022;17:00;;;;;;16401
ter;04/01/2022;18:00;;;;;;16413
ter;04/01/2022;19:00;;;;;;16425
ter;04/01/2022;20:00;;;;;;16437
ter;04/01/2022;21:00;;;;;;16449
ter;04/01/2022;22:00;;;;;;16461
ter;04/01/2022;23:00;;;;;;16473
qua;05/01/2022;0:00;;;;;;16485
qua;05/01/2022;1:00;;;;;;16497
qua;05/01/2022;2:00;;;;;;16509
qua;05/01/2022;3:00;;;;;;16521
qua;05/01/2022;4:00;;;;;;16533
qua;05/01/2022;5:00;;;;;;16545
qua;05/01/2022;6:00;;;;;;16557
qua;05/01/2022;7:00;;;;;;16569
qua;05/01/2022;8:00;;;;;;16581
qua;05/01/2022;9:00;;;;;;16593
qua;05/01/2022;10:00;;;;;;16605
qua;05/01/2022;11:00;;;;;;16617
qua;05/01/2022;12:00;;;;;;16629
qua;05/01/2022;13:00;26,6;0,3;65;;400,2;16641
qua;05/01/2022;14:00;27,2;0,1;48;7;1502,7;16653
qua;05/01/2022;15:00;27,4;2,5;49;6,8;1613,7;16665
qua;05/01/2022;16:00;27,9;2;48;6,5;2377,3;16677
qua;05/01/2022;17:00;26,5;3,9;62;11,6;2068,1;16689
qua;05/01/2022;18:00;26;2;43;9,1;1892,5;16701
qua;05/01/2022;19:00;25,9;0,9;38;8;1150,2;16713
qua;05/01/2022;20:00;26,2;0;28;6,4;640,5;16725
qua;05/01/2022;21:00;26,2;0,5;50;3,9;227,4;16737
qua;05/01/2022;22:00;26;0;60;4,3;14,2;16749
qua;05/01/2022;23:00;26,3;1;62;5,7;;16761
qui;06/01/2022;0:00;26,1;0;60;5,7;;16773
qui;06/01/2022;1:00;26,3;1,2;69;6,5;;16785
qui;06/01/2022;2:00;24,4;0;115;9,4;;16797
qui;06/01/2022;3:00;23,9;0;118;4;;16809
qui;06/01/2022;4:00;23,7;0;105;0,7;;16821
qui;06/01/2022;5:00;23,4;0;130;0;;16833
qui;06/01/2022;6:00;23,3;0;155;0;;16845
qui;06/01/2022;7:00;23,2;0;143;0;;16857
qui;06/01/2022;8:00;22,9;0;62;0;;16869
qui;06/01/2022;9:00;23,4;0;86;3,4;;16881
qui;06/01/2022;10:00;24,1;0;75;1,5;107,7;16893
